                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6594,                 0.7193,                 1.0208,                0.50928,                    0.7,                0.49631,                0.43876,                0.68125,                 1.9673,                0.96526,               0.008317,               0.008317,               0.008317
                     37,                0.70916,                0.77815,                 1.1141,                0.50928,                    0.7,                0.49631,                0.43876,                0.68125,                 1.9673,                0.96526,              0.0082675,              0.0082675,              0.0082675
                     38,                0.57493,                0.59539,                0.99003,                0.36681,                      1,                0.52912,                 0.4759,                  0.614,                 3.2865,                0.94842,               0.008218,               0.008218,               0.008218
                     39,                0.52647,                  0.549,                0.95195,                0.55436,                    0.9,                0.58963,                 0.5104,                0.65844,                 1.8682,                0.98208,              0.0081685,              0.0081685,              0.0081685
                     40,                0.57213,                 0.7664,                0.94826,                0.61096,                      1,                  0.655,                0.54041,                0.69157,                 1.1898,                0.96597,               0.008119,               0.008119,               0.008119
                     41,                0.56861,                0.85707,                0.94029,                0.61096,                      1,                  0.655,                0.54041,                0.69157,                 1.1898,                0.96597,              0.0080695,              0.0080695,              0.0080695
                     42,                0.56107,                0.73787,                 0.9706,                0.69982,                      1,                0.71071,                0.59772,                0.66479,                 2.1352,                0.98117,                0.00802,                0.00802,                0.00802
                     43,                0.51182,                0.75931,                0.95225,                0.63434,                    0.9,                0.62401,                0.52964,                0.67865,                 1.1487,                 1.0016,              0.0079705,              0.0079705,              0.0079705
                     44,                0.60241,                0.80127,                 0.9506,                0.51524,                    0.9,                0.66653,                0.54847,                0.69142,                 3.0766,                0.99677,               0.007921,               0.007921,               0.007921
                     45,                0.54044,                0.62441,                0.89495,                0.51524,                    0.9,                0.66653,                0.54847,                0.69142,                 3.0766,                0.99677,              0.0078715,              0.0078715,              0.0078715
                     46,                0.73699,                 1.0284,                 1.1096,                 0.5982,                0.89368,                0.68704,                  0.593,                0.71657,                 2.4411,                 1.0149,               0.007822,               0.007822,               0.007822
                     47,                0.73167,                0.68446,                 1.0434,                0.68703,                    0.7,                0.71519,                0.57279,                0.76208,                 1.3454,                 1.0275,              0.0077725,              0.0077725,              0.0077725
                     48,                0.58795,                0.71669,                 1.0028,                0.63333,                    0.7,                0.71665,                0.59165,                0.79481,                 1.6161,                  1.027,               0.007723,               0.007723,               0.007723
                     49,                0.49902,                0.62255,                 0.9199,                0.63333,                    0.7,                0.71665,                0.59165,                0.79481,                 1.6161,                  1.027,              0.0076735,              0.0076735,              0.0076735
                     50,                0.65827,                0.70434,                 1.0081,                0.73708,                    0.9,                0.77205,                0.62488,                0.91604,                 1.3542,                 1.1319,               0.007624,               0.007624,               0.007624
                     51,                0.65044,                0.85958,                0.93491,                0.61223,                0.79017,                0.71454,                0.59167,                0.87072,                 1.2643,                 1.0995,              0.0075745,              0.0075745,              0.0075745
                     52,                0.61466,                0.75691,                0.93394,                0.69153,                0.89697,                0.75254,                0.60944,                 0.8288,                 1.1556,                 1.0841,               0.007525,               0.007525,               0.007525
                     53,                0.76922,                 1.7989,                 1.1594,                0.69153,                0.89697,                0.75254,                0.60944,                 0.8288,                 1.1556,                 1.0841,              0.0074755,              0.0074755,              0.0074755
                     54,                0.68411,                0.76765,                 1.0598,                0.62026,                    0.9,                0.74535,                0.63196,                 0.8012,                 1.6777,                 1.0837,               0.007426,               0.007426,               0.007426
                     55,                0.64131,                0.77437,                  1.005,                0.63524,                    0.9,                0.74007,                0.60139,                0.82522,                  1.273,                 1.1124,              0.0073765,              0.0073765,              0.0073765
                     56,                0.55005,                0.59605,                0.93939,                0.39738,                    0.7,                0.49671,                0.37109,                 1.0106,                 2.2518,                 1.1831,               0.007327,               0.007327,               0.007327
                     57,                0.61041,                0.66217,                 1.0109,                0.39738,                    0.7,                0.49671,                0.37109,                 1.0106,                 2.2518,                 1.1831,              0.0072775,              0.0072775,              0.0072775
                     58,                0.70992,                0.68278,                 1.0195,                0.67326,                    0.7,                0.62527,                0.47958,                0.94995,                 1.6077,                  1.157,               0.007228,               0.007228,               0.007228
                     59,                0.64931,                0.75414,                 1.0151,                0.66791,                    0.7,                0.77327,                0.61662,                0.89383,                 1.3721,                 1.1626,              0.0071785,              0.0071785,              0.0071785
                     60,                0.71679,                0.66433,                 0.9777,                0.77636,                0.69489,                0.70564,                0.54679,                0.91704,                 1.5254,                 1.1797,               0.007129,               0.007129,               0.007129
                     61,                0.59239,                0.65398,                0.91935,                0.77636,                0.69489,                0.70564,                0.54679,                0.91704,                 1.5254,                 1.1797,              0.0070795,              0.0070795,              0.0070795
                     62,                0.58843,                0.60869,                0.95848,                0.73269,                0.82384,                0.81124,                  0.644,                0.89856,                 1.0652,                 1.1546,                0.00703,                0.00703,                0.00703
