                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81672,                 0.8138,                 1.2001,                0.09511,                    0.3,                0.17742,                0.15341,                0.92728,                 11.064,                 1.1991,             0.00083665,             0.00083665,             0.00083665
                     36,                0.86822,                0.93669,                 1.1362,                0.04588,                    0.2,                0.05589,                0.04318,                0.75141,                 11.169,                  1.033,              0.0008317,              0.0008317,              0.0008317
                     37,                0.80049,                 0.8182,                 1.1825,                0.04588,                    0.2,                0.05589,                0.04318,                0.75141,                 11.169,                  1.033,             0.00082675,             0.00082675,             0.00082675
                     38,                0.80679,                0.86077,                 1.0809,                0.50673,                    0.8,                0.57517,                0.46336,                0.82782,                 3.9289,                 1.0811,              0.0008218,              0.0008218,              0.0008218
                     39,                0.81477,                0.79044,                 1.0409,                0.53677,                    0.9,                0.62021,                0.50062,                0.87351,                 5.2353,                 1.1104,             0.00081685,             0.00081685,             0.00081685
                     40,                0.74626,                0.78361,                 1.0258,                0.52647,                    0.8,                0.60688,                0.43847,                0.92302,                 5.5685,                 1.1808,              0.0008119,              0.0008119,              0.0008119
                     41,                0.63036,                0.80344,                 1.0117,                0.52647,                    0.8,                0.60688,                0.43847,                0.92302,                 5.5685,                 1.1808,             0.00080695,             0.00080695,             0.00080695
                     42,                0.79331,                0.97076,                 1.1186,                0.48591,                    0.8,                0.56718,                0.26854,                 1.6055,                 5.9996,                 1.6336,               0.000802,               0.000802,               0.000802
                     43,                0.75028,                 0.9783,                 1.0531,                0.46699,                    0.6,                0.39741,                0.15245,                 2.0293,                 5.1731,                 1.8773,             0.00079705,             0.00079705,             0.00079705
                     44,                 0.7597,                0.77162,                 1.0697,                0.23072,                    0.3,                0.21763,                0.09905,                 2.2607,                 6.4126,                  2.021,              0.0007921,              0.0007921,              0.0007921
                     45,                0.71891,                0.67373,                 1.0714,                0.23072,                    0.3,                0.21763,                0.09905,                 2.2607,                 6.4126,                  2.021,             0.00078715,             0.00078715,             0.00078715
                     46,                0.97465,                  0.942,                 1.2577,                0.60523,                    0.4,                0.38041,                0.22958,                 1.7881,                 8.7128,                 1.6821,              0.0007822,              0.0007822,              0.0007822
                     47,                0.91275,                0.84151,                 1.2786,                0.53011,                    0.4,                 0.4332,                0.30852,                 1.2443,                 5.9339,                 1.2939,             0.00077725,             0.00077725,             0.00077725
                     48,                0.78704,                0.71059,                  1.157,                0.56792,                    0.6,                0.48331,                0.38729,                0.95296,                 3.7263,                 1.1424,              0.0007723,              0.0007723,              0.0007723
                     49,                0.65841,                0.72691,                  1.139,                0.56792,                    0.6,                0.48331,                0.38729,                0.95296,                 3.7263,                 1.1424,             0.00076735,             0.00076735,             0.00076735
                     50,                0.76839,                0.84187,                 1.0548,                0.42287,                    0.7,                0.48025,                0.37354,                0.97468,                 3.1035,                 1.1056,              0.0007624,              0.0007624,              0.0007624
                     51,                0.69082,                0.77595,                0.98541,                 0.4877,                    0.8,                 0.5398,                0.42315,                0.97065,                  2.791,                 1.0808,             0.00075745,             0.00075745,             0.00075745
                     52,                0.80129,                0.88946,                 1.0219,                0.49944,                    0.8,                0.55756,                0.41887,                0.94836,                 2.9179,                 1.0741,              0.0007525,              0.0007525,              0.0007525
                     53,                 1.3616,                 1.5591,                 1.4396,                0.49944,                    0.8,                0.55756,                0.41887,                0.94836,                 2.9179,                 1.0741,             0.00074755,             0.00074755,             0.00074755
                     54,                0.84057,                0.86983,                 1.1636,                0.52991,                    0.8,                0.58102,                0.42525,                 0.9007,                  2.711,                 1.0456,              0.0007426,              0.0007426,              0.0007426
                     55,                0.89116,                0.86891,                 1.1944,                0.52573,                    0.9,                0.55254,                0.43045,                0.88063,                 2.2108,                 1.0255,             0.00073765,             0.00073765,             0.00073765
                     56,                0.77659,                 0.7915,                 1.1521,                0.55584,                    0.9,                 0.6443,                0.51229,                0.79157,                 1.9006,                0.99334,              0.0007327,              0.0007327,              0.0007327
                     57,                0.68616,                 0.7512,                 1.0584,                0.55584,                    0.9,                 0.6443,                0.51229,                0.79157,                 1.9006,                0.99334,             0.00072775,             0.00072775,             0.00072775
